Nunca está sozinho o que está acompanhado de pensamentos nobres.; (Sidney)
A mentira arruina rapidamente o mentiroso.; (Marcilio Ficino)
Não estarei destruindo meus inimigos quando os transformo em amigos?; (Abraham Lincoln)
A arte é uma mentira que nos faz compreender a verdade.; (Pablo Picasso)
Dificilmente encontramos pessoas de bom senso a não ser aqueles que concordam conosco.; (La Rochefoucauld)
Para me punir por meu desprezo pela autoridade, o destino fez de mim mesmo uma autoridade.; (Albert Einstein)
Se a mulher soubesse que sua força está na sua fragilidade, dominaria o mundo.; (V. Vilhena de Morais)
Se conhecimento pode trazer problemas, não é sendo ignorante que poderemos solucioná-los.; (Issac Assimov)
O pessimista se queixa do vento, o otimista espera que ele mude e o realista ajusta as velas.; (Willian George Ward)
Você faz suas escolhas, e suas escolhas fazem você.; (Steve Beckman)
Três palavras podem resumir tudo que aprendi da vida: a vida continua.; (Robert Frost)
Tudo vale a pena quando a alma não é pequena.; (Fernando Pessoa)
Ação pode nem sempre trazer felicidade; mas não existe felicidade sem ação.; (Benjamin Disraeli)
Todos os homens se enganam, mas só os grandes homens reconhecem que se enganaram.; (Fontenelle)
Os males de que padece o ser humano, em seu maior número, vêm dele mesmo.; (Plínio)
Muitas vezes não temos tempo para dedicar aos amigos, mas para os inimigos temos todo o tempo do mundo.; (Leon Uris)
O homem é mortal por seus temores e imortal por seus desejos.; (Pitágoras)
Um homem sério tem poucas idéias. Um homem de idéias nunca é sério.; (Paul Valéry)
Quanto menos os homens pensam, mais eles falam.; (Montesquieu)
A moral se edifica com o bom exemplo, não com as palavras.; (Carlos Bernardo González Pecotche)
Ser bom, mas não tolo, eis aí a questão.; (Carlos Bernardo González Pecotche)
O mal de quase todos nós é que preferimos ser arruinados pelo elogio a ser salvos pela crítica.; (Norman Vincent)
Quando a honra de um homem é inatacável, fica-lhe decente qualquer roupa que vista.; (Hamassa)
Há pessoas que transformam o sol numa simples mancha amarela, mas há aquelas que fazem de uma simples mancha amarela o próprio sol.; (Pablo Picasso)
Se você não tem a coragem de ser um inimigo do mal, então também não pode ser um amigo do bem.; (Makiguti)
Manejar o silêncio é mais difícil que manejar a palavra.; (Georges Clemenceau)
A disciplina é a parte mais importante do sucesso.; (Truman Capote)
O espírito se enriquece com aquilo que recebe; o coração com aquilo que dá.; (Victor Hugo)
Toda manhã, na África, um Leão acorda. Ele sabe que deverá correr mais rápido do que a Gazela ou morrerá de fome. Quando o sol surge no horizonte então, não importa se você é Leão ou Gazela, é melhor você começar a correr.; (Ditado popular italiano)
Ninguém comete erro maior do que não fazer nada porque só pode fazer um pouco.; (Edmund Burke)
Determine que algo pode e deve ser feito, e então você achará o caminho para fazê-lo.; (Abraham Lincoln)
Mantenham a mente aberta, assim como a capacidade de se preocupar com a humanidade e a consciência de fazer parte dela.; (Dalai Lama)
No que diz respeito ao desempenho, ao compromisso, ao esforço, à dedicação, não existe meio termo. Ou você faz uma coisa bem-feita ou não faz.; (Ayrton Senna)
É nos momentos de decisão que o seu destino é traçado.; (Anthony Robbins)
Tolo é aquele que afundou seu navio duas vezes e ainda culpa o mar.; (Publilus Syrus)
O segredo da vida não é o que acontece com você, e sim, o que você faz do que acontece com você.; (Norman Vincent Peale)
Sonhos são como deuses: se não se acredita neles, eles deixam de existir.; (Antônio Cécero)
Já que você tem que pensar de qualquer forma, pense grande.; (Donald Trump)
Somente quem passa pelo gelo da dor chega à inocência do amor.; (Chiara Lubich)
Projetistas fazem canais, arqueiros airam flechas, artífices modelam a madeira e o barro,  o homem sábio modela-se a si mesmo.; (Buda Gautama Sakyamuni)
